% Model,wave_50m.mph
% Version,COMSOL 5.6.0.341
% Date,"Dec 9 2021, 09:37"
% Table,表格 1 - 点计算 1
% 时间 (s),"压力 (Pa), 点: 3","压力 (Pa), 点: 4","压力 (Pa), 点: 5","压力 (Pa), 点: 6","压力 (Pa), 点: 7","压力 (Pa), 点: 8","压力 (Pa), 点: 9","压力 (Pa), 点: 10","压力 (Pa), 点: 11","压力 (Pa), 点: 12","压力 (Pa), 点: 13","压力 (Pa), 点: 14","压力 (Pa), 点: 15","压力 (Pa), 点: 16","压力 (Pa), 点: 19","压力 (Pa), 点: 20","压力 (Pa), 点: 21","压力 (Pa), 点: 22","压力 (Pa), 点: 23","压力 (Pa), 点: 24","压力 (Pa), 点: 25","压力 (Pa), 点: 26","压力 (Pa), 点: 27","压力 (Pa), 点: 28","压力 (Pa), 点: 29","压力 (Pa), 点: 30","压力 (Pa), 点: 31","压力 (Pa), 点: 34","压力 (Pa), 点: 35","压力 (Pa), 点: 36","压力 (Pa), 点: 37","压力 (Pa), 点: 38","压力 (Pa), 点: 39","压力 (Pa), 点: 40","压力 (Pa), 点: 41","压力 (Pa), 点: 42","压力 (Pa), 点: 43","压力 (Pa), 点: 44","压力 (Pa), 点: 45","压力 (Pa), 点: 46","压力 (Pa), 点: 47"
0.01,2.3610274605671848E-14,1.4286197566216964E-15,4.888844829836102E-17,2.1990394707463544E-18,4.489280461727409E-18,1.2016363341110114E-18,-1.5833196375155438E-21,-9.593568746523473E-20,-3.78980596424179E-20,-9.029015340543635E-21,-1.3159707419253212E-21,3.626858110413769E-24,7.751407277905685E-23,3.169606419242556E-23,8.91845819759648E-24,2.0411712802992526E-24,3.9163808130296893E-25,5.913716887624795E-26,4.957390805032806E-27,-7.756289262954833E-28,-5.231732368209173E-28,-1.7074590443509224E-28,-4.441005394563223E-29,-1.0124643112980838E-29,-2.0858415889583824E-30,-3.906433012635467E-31,-6.563995605796654E-32,-9.456757895301517E-33,-9.989059950126487E-34,-9.74568412903872E-36,3.3815657303989595E-35,1.2932910020459308E-35,3.597360062827302E-36,8.796819147432478E-37,1.9852399825523552E-37,4.2014438062503886E-38,8.393204875684387E-39,1.5855272199099572E-39,2.83294955595467E-40,4.81543309627568E-41,7.539136422248935E-42
0.011,3.3954958610741313E-14,2.062433443209692E-15,6.90977962670553E-17,1.2800502432500564E-17,5.94000962068737E-18,3.034545296242122E-19,-4.260419821373581E-19,-1.6667039706957182E-19,-2.9977609285640935E-20,7.854472957731379E-23,2.1017357179056353E-21,8.704762447827033E-22,2.3319178398514517E-22,4.6164430262523355E-23,6.176386148948748E-24,7.751010986612812E-26,-2.962628956108739E-25,-1.278032892632848E-25,-3.742746832315855E-26,-8.871012709530738E-27,-1.7801249512541923E-27,-3.0506564854464735E-28,-4.185539882776542E-29,-3.178191584952762E-30,5.59267946208384E-31,3.5527379675541986E-31,1.1515515223512956E-31,2.995690795609439E-32,6.842183617330236E-33,1.410712407410574E-33,2.6588113641944844E-34,4.623030140700945E-35,7.360327499985102E-36,1.0237983917412452E-36,1.046270878078583E-37,-2.2494154034506163E-40,-4.209635058839965E-39,-1.6001630442646666E-39,-4.470231762207501E-40,-1.0807654050597919E-40,-2.4054773886150437E-41
0.012,4.873295358100245E-14,2.9585274336661057E-15,1.248096563035725E-16,2.9528718983042434E-17,5.259769113243014E-18,-1.3441534194905301E-18,-7.572728134016448E-19,-1.2168246157987077E-19,1.506386913351552E-20,1.4615469235443506E-20,4.7533540841349606E-21,9.465267272594815E-22,8.44533430077482E-23,-2.2647031961707364E-23,-1.4279340163252116E-23,-4.66719774714695E-24,-1.1636604323765744E-24,-2.3203710279464133E-25,-3.45528072955688E-26,-2.3607822739995332E-27,7.008772978326522E-28,3.8605490920300274E-28,1.2127768875906481E-28,3.0746054356539565E-29,6.779779053084703E-30,1.3254402830864118E-30,2.2720013821946244E-31,3.226133865303137E-32,3.0007991596354068E-33,-1.6168855325886109E-34,-1.7858820005663611E-34,-6.114381550398062E-35,-1.6357407949586782E-35,-3.894196544977814E-36,-8.552068224757958E-37,-1.7482425535903974E-37,-3.3283912827699405E-38,-5.8631820973976524E-39,-9.40745314096217E-40,-1.3411570788465954E-40,-1.4543763028388583E-41
0.013000000000000001,6.980062970992277E-14,4.256482276391487E-15,2.289239329729039E-16,4.2185213523967124E-17,-7.859378130967871E-19,-3.483104808471687E-18,-7.056925703375797E-19,7.334237975181926E-20,7.651185550926742E-20,2.2110545609779157E-20,2.945976741055304E-21,-3.683843078691476E-22,-3.434418505348421E-22,-1.1694912501577461E-22,-2.739530184629163E-23,-4.5148105413601555E-24,-3.0932979158007077E-25,1.2594633143558479E-25,6.88763758096404E-26,2.1495476983824768E-26,5.201879940198394E-27,1.0530652234465897E-27,1.7736321752327877E-28,2.2140132931944804E-29,7.24511031258016E-31,-7.087614930522533E-31,-3.122408898658698E-31,-9.181883754117787E-32,-2.244358786111128E-32,-4.817718362864237E-33,-9.280875192287565E-34,-1.6174594498138367E-34,-2.506070649522794E-35,-3.160342420551089E-36,-2.0219236519712313E-37,5.19956794756601E-38,2.861043559969034E-38,8.97979015833337E-39,2.319712887058505E-39,5.355553686846737E-40,1.1435712178459821E-40
0.014,9.977293298527209E-14,6.126842236340507E-15,3.6919548806469443E-16,3.759504189071559E-17,-1.0770573998690186E-17,-3.909138064983818E-18,2.53792222613576E-19,4.071367666815972E-19,1.138449297833853E-19,1.0469071005557968E-20,-4.223124902765305E-21,-2.3308186977947007E-21,-6.310154993647434E-22,-1.0268053717987555E-22,-2.6068806231628456E-24,5.12578086386012E-24,2.290364106273595E-24,6.565671290104758E-25,1.4352227316680043E-25,2.3384805544141372E-26,2.128478152353219E-27,-2.879573665479757E-28,-2.1704865894077483E-28,-7.325316201729604E-29,-1.9128484660825502E-29,-4.2461897125054E-30,-8.172637645845027E-31,-1.3318688354085982E-31,-1.6457879718873894E-32,-7.2817654155879925E-34,3.972034471300262E-34,1.8139988901009109E-34,5.398139131916786E-35,1.3604565962152342E-35,3.0875497049415965E-36,6.405611786187882E-37,1.2152834255858702E-37,2.0820106957566494E-38,3.106701542120393E-39,3.683184727598945E-40,1.5920957848847858E-41
0.015,1.4232547345351526E-13,8.784523627730161E-15,5.370946668555564E-16,2.0543106726582266E-17,-1.507588842137464E-17,5.471420257898693E-20,1.9842632850507164E-18,6.038627884138873E-19,4.354860809298987E-20,-2.9324763797090626E-20,-1.372525664248408E-20,-3.0858341253376523E-21,-2.641086554535657E-22,9.531183048491067E-23,5.430261427207685E-23,1.6111723272200533E-23,3.334703924483325E-24,4.247212863218002E-25,-1.5841042988840614E-26,-2.9836877138580827E-26,-1.1117786307417086E-26,-2.9594487897457314E-27,-6.422528309801806E-28,-1.1447854329063542E-28,-1.5189454423374296E-29,-6.808507316106358E-31,4.336670342481647E-31,2.03176030393613E-31,6.058269977987533E-32,1.4727191672305142E-32,3.1164522057142115E-33,5.886483608715196E-34,9.880894107728413E-35,1.3883350816648007E-35,1.2445980425504367E-36,-1.072297405009184E-37,-9.565566307638274E-38,-3.2984282264290083E-38,-8.897794318500622E-39,-2.10406987566226E-39,-4.534053231814854E-40
0.016,2.026136673948017E-13,1.2540951460100498E-14,7.609859049029709E-16,1.445249878913027E-17,-5.312328306932317E-18,6.989202871057685E-18,2.818617078780296E-18,1.7045069426110341E-19,-1.8241577024588865E-19,-7.795667737916414E-20,-1.487761656797081E-20,-3.2865675895567145E-23,9.87177592729245E-22,3.808887702609739E-22,8.671998190673094E-23,1.1017865764190345E-23,-8.268460238355098E-25,-9.94568890153169E-25,-3.601260391534397E-25,-9.032161288009767E-26,-1.7095298303742083E-26,-2.2359719869823223E-27,-4.219875233697276E-29,9.357786141260285E-29,3.962143705947532E-29,1.137841357571766E-29,2.672076036154927E-30,5.338009790920323E-31,8.922594303554365E-32,1.1299453456284133E-32,5.377359392614346E-34,-2.6914857974655865E-34,-1.283168314359348E-34,-3.906862376422821E-35,-9.924534476275309E-36,-2.226918391363796E-36,-4.482717143069588E-37,-8.049762611469631E-38,-1.2475051692680828E-38,-1.521229438544567E-39,-6.486997903202688E-41
0.017,2.8785298538346906E-13,1.785910646387448E-14,1.0984039800224708E-15,3.595531708377359E-17,1.3655474162059458E-17,1.0578225190000406E-17,8.821294164258872E-19,-9.232402579770536E-19,-3.986524244678583E-19,-6.589388159920872E-20,6.900073607553657E-21,7.393870917014587E-21,2.316289538659532E-21,3.9919334961075714E-22,7.83560744308202E-24,-2.158120750451073E-23,-9.093216847066634E-24,-2.3790388792665246E-24,-4.311581962309529E-25,-3.8087923251887317E-26,7.949648996744533E-27,5.142199512456629E-27,1.6573553158673757E-27,4.072469061426043E-28,8.12959946944444E-29,1.2685138943126242E-29,1.1567576653578968E-30,-1.4074153398902525E-31,-1.0938051741973302E-31,-3.644914923706997E-32,-9.348933702996111E-33,-2.056504276837057E-33,-4.006704998160662E-34,-6.83952116468947E-35,-9.430744151100862E-36,-7.0299113646718415E-37,1.3893465205741855E-37,8.569418539292293E-38,2.776393890597287E-38,7.248442990545144E-39,1.6629987257691014E-39
0.018000000000000002,4.08120425685513E-13,2.5393587189665677E-14,1.6018619909842113E-15,7.756170913055561E-17,2.7255933340022627E-17,5.987019673063687E-18,-3.1658603962683804E-18,-1.7168158312274303E-18,-2.5864040421847173E-19,6.407551068603571E-20,4.573220823981101E-20,1.2327702111604752E-20,1.4065233360595988E-21,-2.947004436842455E-22,-2.0445772709176606E-22,-6.133041862632653E-23,-1.1683277815876927E-23,-9.632473466620317E-25,3.167958248594888E-25,1.831684448931499E-25,5.546742645101798E-26,1.244753698962293E-26,2.1162878057233664E-27,2.1302062209260584E-28,-2.1331673833720294E-29,-1.9199132205999982E-29,-6.66244461692E-30,-1.7383614867965185E-30,-3.76177422378813E-31,-6.830928824439863E-32,-9.812699262336328E-33,-8.297754157671617E-34,1.0654757416765134E-34,7.90520721213095E-35,2.6801348779354605E-35,7.114952577151412E-36,1.6229593916645254E-36,3.2587299334769588E-37,5.71428760861474E-38,8.434964421303976E-39,8.114298071369586E-40
0.019,5.774590653691356E-13,3.604305980769939E-14,2.3110393017194556E-15,1.2371283929963127E-16,2.784199354397341E-17,-3.948907339043722E-18,-5.802749757513591E-18,-1.0028693684390643E-18,3.50933982910581E-19,2.3263068756904234E-19,5.628071193067166E-20,2.3697541938583285E-21,-3.344416013882284E-21,-1.4581548882173672E-21,-3.4280297782512477E-22,-4.0510034048752146E-23,5.548382182785128E-24,4.77173900108706E-24,1.600571547324473E-24,3.594888364959752E-25,5.38315109763035E-26,2.197958477592368E-27,-1.9560532155836215E-27,-9.016313597373087E-28,-2.6234303358607778E-28,-5.986320917452247E-29,-1.0944930291922109E-29,-1.4414765958202286E-30,-4.7866696363823884E-32,4.8264330485966956E-32,2.0961100116658827E-32,6.023112431207798E-33,1.4325229864262559E-33,2.9773793841087926E-34,5.362615225833021E-35,7.784816034090726E-36,6.600798575459968E-37,-8.845549480919301E-38,-6.435257048346127E-38,-2.1532840620871866E-38,-5.6633620198573354E-39
