0,5.58E-16,9.64E-17,1.66E-17,2.87E-18,4.93E-19,8.42E-20,1.42E-20,2.39E-21,4.02E-22,6.85E-23,1.17E-23,2.01E-24,3.45E-25,5.90E-26,1.01E-26,1.73E-27,2.99E-28,5.25E-29,9.23E-30,1.61E-30,2.76E-31,4.74E-32,8.13E-33,1.40E-33,2.41E-34,4.16E-35,7.19E-36,1.24E-36,2.13E-37,3.64E-38,6.14E-39,1.03E-39,1.74E-40,2.95E-41,5.06E-42,8.67E-43,1.49E-43,2.53E-44,4.31E-45,7.66E-46,1.29E-46
0.001,8.19E-16,9.38E-17,8.65E-18,2.96E-19,-1.41E-19,-5.39E-20,-1.36E-20,-2.96E-21,-5.99E-22,-1.17E-22,-2.24E-23,-4.19E-24,-7.66E-25,-1.38E-25,-2.45E-26,-4.31E-27,-7.59E-28,-1.35E-28,-2.36E-29,-4.08E-30,-6.90E-31,-1.15E-31,-1.92E-32,-3.18E-33,-5.21E-34,-8.47E-35,-1.36E-35,-2.15E-36,-3.34E-37,-5.03E-38,-7.37E-39,-1.03E-39,-1.38E-40,-1.70E-41,-1.79E-42,-1.02E-43,1.85E-44,9.32E-45,2.69E-45,6.00E-46,1.33E-46
0.002,1.20E-15,3.99E-17,-1.32E-17,-4.43E-18,-9.45E-19,-1.64E-19,-2.42E-20,-3.00E-21,-2.48E-22,1.13E-23,1.25E-23,4.11E-24,1.06E-24,2.42E-25,5.16E-26,1.05E-26,2.10E-27,4.13E-28,7.98E-29,1.49E-29,2.70E-30,4.80E-31,8.43E-32,1.46E-32,2.50E-33,4.22E-34,7.02E-35,1.14E-35,1.82E-36,2.79E-37,4.10E-38,5.77E-39,7.58E-40,8.91E-41,7.70E-42,-7.47E-44,-2.69E-43,-9.22E-44,-2.38E-44,-5.25E-45,-1.13E-45
0.003,1.75E-15,1.05E-17,-1.58E-17,-1.85E-18,2.55E-19,1.80E-19,5.52E-20,1.31E-20,2.75E-21,5.29E-22,9.49E-23,1.57E-23,2.38E-24,3.12E-25,3.09E-26,4.85E-28,-9.10E-28,-3.61E-28,-1.03E-28,-2.49E-29,-5.51E-30,-1.15E-30,-2.33E-31,-4.57E-32,-8.77E-33,-1.65E-33,-3.04E-34,-5.49E-35,-9.73E-36,-1.68E-36,-2.82E-37,-4.62E-38,-7.46E-39,-1.19E-39,-1.84E-40,-2.76E-41,-3.88E-42,-4.96E-43,-5.24E-44,-4.25E-45,3.78E-46
0.004,2.56E-15,5.53E-17,9.62E-18,6.57E-18,2.04E-18,4.36E-19,6.95E-20,7.52E-21,-8.40E-24,-3.09E-22,-1.17E-22,-3.22E-23,-7.62E-24,-1.63E-24,-3.24E-25,-6.10E-26,-1.09E-26,-1.86E-27,-2.94E-28,-4.10E-29,-4.60E-30,-2.55E-31,6.67E-32,3.34E-32,9.98E-33,2.51E-33,5.76E-34,1.24E-34,2.56E-35,5.07E-36,9.65E-37,1.79E-37,3.26E-38,5.89E-39,1.05E-39,1.85E-40,3.19E-41,5.36E-42,8.78E-43,1.45E-43,2.23E-44
0.005,3.72E-15,1.58E-16,3.70E-17,9.36E-18,1.15E-18,-9.32E-20,-9.23E-20,-3.05E-20,-7.56E-21,-1.59E-21,-2.88E-22,-4.42E-23,-5.07E-24,-1.51E-25,1.42E-25,5.98E-26,1.74E-26,4.39E-27,1.00E-27,2.11E-28,4.14E-29,7.69E-30,1.36E-30,2.30E-31,3.64E-32,5.29E-33,6.60E-34,5.65E-35,-2.42E-36,-2.83E-36,-9.32E-37,-2.39E-37,-5.52E-38,-1.21E-38,-2.54E-39,-5.18E-40,-1.02E-40,-1.97E-41,-3.68E-42,-6.79E-43,-1.21E-43
0.006,5.41E-15,2.80E-16,4.29E-17,2.01E-18,-2.01E-18,-8.28E-19,-1.96E-19,-3.26E-20,-3.03E-21,3.73E-22,2.92E-22,9.84E-23,2.57E-23,5.75E-24,1.15E-24,2.09E-25,3.40E-26,4.64E-27,4.00E-28,-3.21E-29,-2.74E-29,-9.09E-30,-2.39E-30,-5.61E-31,-1.22E-31,-2.51E-32,-4.93E-33,-9.23E-34,-1.65E-34,-2.79E-35,-4.44E-36,-6.58E-37,-8.89E-38,-9.94E-39,-5.63E-40,1.42E-40,7.23E-41,2.16E-41,5.39E-42,1.21E-42,2.58E-43
0.007,7.84E-15,4.26E-16,3.43E-17,-6.83E-18,-3.42E-18,-5.91E-19,4.78E-21,3.69E-20,1.45E-20,3.92E-21,8.49E-22,1.49E-22,1.92E-23,7.98E-25,-5.32E-25,-2.44E-25,-7.36E-26,-1.88E-26,-4.25E-27,-8.64E-28,-1.59E-28,-2.68E-29,-4.02E-30,-4.94E-31,-3.34E-32,6.23E-33,3.63E-33,1.14E-33,2.91E-34,6.67E-35,1.41E-35,2.81E-36,5.40E-37,1.01E-37,1.84E-38,3.23E-39,5.42E-40,8.58E-41,1.26E-41,1.70E-42,1.78E-43
0.008,1.13E-14,6.41E-16,3.17E-17,-8.36E-18,-1.27E-18,5.47E-19,3.13E-19,8.84E-20,1.69E-20,1.82E-21,-1.85E-22,-1.73E-22,-6.06E-23,-1.60E-23,-3.54E-24,-6.80E-25,-1.12E-25,-1.40E-26,-5.43E-28,3.92E-28,1.73E-28,5.05E-29,1.25E-29,2.78E-30,5.73E-31,1.10E-31,1.97E-32,3.24E-33,4.73E-34,5.62E-35,3.64E-36,-6.46E-37,-3.68E-37,-1.15E-37,-2.97E-38,-6.97E-39,-1.52E-39,-3.16E-40,-6.25E-41,-1.19E-41,-2.19E-42
0.009,1.64E-14,9.67E-16,3.91E-17,-4.00E-18,2.11E-18,1.36E-18,3.27E-19,2.85E-20,-1.04E-20,-6.10E-21,-1.92E-21,-4.48E-22,-8.04E-23,-9.65E-24,7.02E-26,4.94E-25,1.99E-25,5.77E-26,1.40E-26,2.94E-27,5.41E-28,8.66E-29,1.12E-29,7.92E-31,-1.52E-31,-9.08E-32,-2.89E-32,-7.48E-33,-1.72E-33,-3.61E-34,-7.04E-35,-1.29E-35,-2.26E-36,-3.72E-37,-5.63E-38,-7.32E-39,-6.52E-40,2.66E-41,3.38E-41,1.14E-41,3.04E-42
